Use case #,Manual,Learn,Auto,E-stop,Bumpers & arm switch,Far obstacle,Close obstacle,Keep alive,Reverse,Forward,Stop,Green,Yellow,Red,Beep,Arm power,Decompress,State,Use case description,
1,1,0,0,0,x,x,x,x,x,x,x,1,0,0,0,1,0,Manual drive,Normal drive,
2,1,0,0,1,x,x,x,x,x,x,x,1,0,1,0,0,1,,E-stop activated,
3,0,1,0,0,0,0,x,1,x,x,x,1s,0,0,0,1,0,Learn mode,Normal mode,
4,0,1,0,1,x,x,x,x,x,x,x,1s,0,1,0,0,1,,E-stop activated,
5,0,1,0,0,*,x,x,* =0,x,x,x,1s,0,1s,0,0,0,,Bumper arm or keep alive activated,
6,0,1,0,0,x,1,x,1,x,x,x,1s,.5s,.5s,.5s,1,0,,Far obstacle,
7,0,1,0,0,x,x,1,1,x,x,x,1s,1,1,1,1,0,,Close obstacle,
8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,Automatic,Normal mode,
9,0,0,1,*,x,x,x,* =0,x,x,x,0,0,1,0,0,1,,E-stop or keep alive activated,
10,0,0,1,0,*,x,x,1,x,x,*,0,1,1,0,0,1,,Bumper arm or stop activated,
11,0,0,1,0,0,1,0,1,x,x,x,0,.5s,.5s,.5s,1,0,,Far obstacle,
12,0,0,1,0,0,0,1,1,x,x,x,0,1,1,1,0,0,,Close obstacle,
13,0,0,1,0,0,x,x,1,1,0,x,0,1s,0,1s,1,0,,Reverse,
14,0,0,1,0,0,x,x,1,0,1,x,0,1s,0,0,1,0,,Forward,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Use case,Logical term,,,Blocks,,,Output,Logical term,,,Blocks,,Code,Signal,,Block,,,
,1,ML'A'E',,,Op21,,,QG(ON),1+2,,,Op35,,M,Manual,,Op8,,,
,2,ML'A'E,,,Op12,,,QG(1s),3+4+5+6+7,,,Op27,,L,Learn,,Op5,,,
,3,M'LA'E'B'F'K,,,Op23,,,QY(ON),7+8+10+12,,,Op47,,A,Auto,,Op10,,,
,4,M'LA'E,,,Op16,,,QY(1s),13+14,,,Op36,,E,E-stop,,Op2,,,
,5,M'LA'E'(B+K),,,Op25 &Op18,,,QY(.5s),6+11,,,Op41,,B,Bumpers & Arm,,Op15,,,
,6,M'LA'E'FK,,,Op11,,,QR(ON),2+4+7+9+10+12,,,Op43,,F,Far obstacle,,Op3,,,
,7,M'LA'E'CK,,,Op13,,,QR(1s),5,,,Op30,,C,Close obstacle,,Op4,,,
,8,(M'L'AE'K)B'F'C'R'W'S',,,Op20 &Op22,,,QR(.5s),6+11,,,Op41,,K,Keep alive,,Op7,,,
,9,M'L'A(E+K),,,Op28 &Op17,,,QB(ON),7+12,,,Op44,,R,Reverse,,Op9,,,
,10,(M'L'AE'K)(B+S),,,Op20 &Op29 &Op32,,,QB(1s),13,,,Op31,,W,Forward,,Op19,,,
,11,(M'L'AE'K)B'FC',,,Op20 &Op37,,,QB(.5s),6+11,,,Op41,,S,Stop,,Op14,,,
,12,(M'L'AE'K)B'F'C,,,Op20 &Op24,,,QA,1+3+6+7+8+11+13+14,,,Op39,,,,,,,,
,13,(M'L'AE'K)B'RW',,,Op20 &Op26,,,QD,2+4+9+10,,,Op38,,,,,,,,
,14,(M'L'AE'K)B'R'W,,,Op20 &Op33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
