est,Type ,Hazard description,Hazard subtype,Example,Victim,Mechanical malfunction,Where,Solution,Cost (farmer),Moral (society),Liability (manu- facturer)
1,Machine,Destruction of part of the machine,Small physcial objects/soil conditions,Hitting a stone,Machine,yes,inside/outside field,Sensor system,x,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,Machine,Malfunction of machine component,Unfavourbale driving conditions,GNSS outage causing the machine estimated pose to be unaccurate,Machine,yes,inside/outside field,Sensor system,x,,
6,Machine,Malfunction of machine component,Unskilled operator,,Machine,yes,inside/outside field,Sensor system,x,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Form,Name,Question,Type,Value,Condition,,,,
,,Box1HouseOwning,hasSoldHouse,"Did you sell a house in 2010?",boolean,,,,,,
,,,hasBoughtHourse,"Did you buy a house in 2010?",boolean,,,,,,
,,,hasMaintLoan,"Did you enter a loan for maintenance/reconstruction?",boolean,,,,,,
,,,sellingPrice,"Price the house was sold for:",money,,hasSoldHouse,,,,
,,,privateDebt,"Private debts for the sold house:",money,,hasSoldHouse,,,,
,,,valueResidue,"Value residue:",money,(sellingPrice-privateDebt),hasSoldHouse,,,,
,,AnotherForm,whatEver,"Q",int,5,,,,,o
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
